running_id,10km,17km,gross_time,net_time
8604,00:45:43,01:18:00,01:36:01,01:35:19
5383,00:43:28,01:17:15,01:35:38,01:35:21
143,00:45:29,01:17:49,01:35:35,01:35:21
8552,00:46:43,01:19:36,01:35:49,01:35:22
4600,00:44:22,01:17:02,01:35:57,01:35:23
3188,00:43:36,01:17:14,01:35:41,01:35:25
5249,00:43:11,01:17:14,01:35:40,01:35:25
546,00:45:04,01:17:47,01:39:04,01:35:26
4276,00:44:38,01:17:33,01:36:18,01:35:26
5681,00:43:59,01:17:12,01:35:46,01:35:27
4302,00:43:46,01:16:49,01:36:01,01:35:28
6024,00:44:16,01:17:26,01:35:39,01:35:30
6726,00:46:26,01:18:20,01:37:05,01:35:31
7337,00:45:19,01:18:12,01:36:05,01:35:33
5445,00:45:49,01:17:51,01:36:30,01:35:34
4422,00:45:48,01:17:54,01:36:33,01:35:34
339,00:45:47,01:18:02,01:36:24,01:35:34
4286,00:45:27,01:18:03,01:37:05,01:35:35
9113,00:42:34,01:16:23,01:36:02,01:35:39
4783,00:46:11,01:18:27,01:40:40,01:35:41
3802,00:44:14,01:17:26,01:35:58,01:35:42
1754,00:44:23,01:17:30,01:36:03,01:35:44
5001,00:45:04,01:18:02,01:36:00,01:35:45
6055,00:44:33,01:17:30,01:36:10,01:35:45
329,00:45:26,01:18:08,01:39:10,01:35:45
4423,00:44:56,01:17:47,01:35:52,01:35:47
1963,00:44:53,01:17:50,01:36:19,01:35:48
2557,00:44:33,01:17:59,01:36:17,01:35:49
5275,00:44:54,01:17:52,01:36:50,01:35:49
1104,00:44:15,01:17:19,01:36:24,01:35:52
309,00:44:37,01:17:29,01:36:17,01:35:52
3889,00:44:22,01:17:24,01:39:16,01:35:52
1199,00:43:09,01:17:10,01:36:15,01:35:54
6424,00:38:58,01:15:33,01:36:08,01:35:54
8740,00:46:15,01:18:28,01:39:40,01:35:54
5122,00:45:14,01:18:30,01:36:51,01:35:56
6877,00:44:22,01:17:51,01:36:40,01:35:59
5542,00:45:47,01:18:22,01:37:03,01:36:03
472,00:45:05,01:18:06,01:39:43,01:36:04
8365,00:45:33,01:18:02,01:36:53,01:36:04
5739,00:46:19,01:18:22,01:36:21,01:36:04
9157,00:45:26,01:17:31,01:37:17,01:36:04
8882,00:44:00,01:17:24,01:36:27,01:36:07
6539,00:45:43,01:18:46,01:45:50,01:36:09
729,00:43:05,01:17:10,01:36:34,01:36:09
3660,00:45:04,01:18:20,01:37:50,01:36:10
1588,00:43:35,01:17:30,01:36:31,01:36:13
1600,00:46:37,01:19:12,01:37:08,01:36:14
1746,00:46:37,01:18:43,01:41:06,01:36:15
2510,00:45:36,01:18:30,01:37:02,01:36:15
5069,00:46:11,01:18:57,01:36:44,01:36:20
829,00:44:40,01:18:00,01:37:17,01:36:21
1742,00:46:22,01:19:05,01:39:44,01:36:21
4517,00:47:26,01:19:20,01:40:49,01:36:24
8133,00:45:46,01:18:33,01:37:02,01:36:25
653,00:46:13,01:18:37,01:37:15,01:36:25
458,00:45:50,01:18:25,01:37:23,01:36:27
506,00:44:02,01:17:44,01:36:46,01:36:28
5237,00:44:51,01:17:42,01:36:42,01:36:29
9127,00:45:52,01:18:39,01:44:13,01:36:31
5236,00:44:52,01:17:55,01:36:45,01:36:32
6786,00:45:41,01:18:40,01:38:05,01:36:32
5776,00:47:04,01:20:13,01:41:24,01:36:33
8523,00:45:34,01:18:46,01:37:25,01:36:33
3003,00:44:54,01:18:12,01:37:07,01:36:33
4492,00:45:43,01:18:32,01:38:01,01:36:36
8353,00:45:57,01:18:33,01:37:20,01:36:38
3620,00:45:28,01:18:48,01:37:54,01:36:39
5317,00:42:42,01:17:10,01:37:27,01:36:40
7096,00:44:06,01:17:56,01:37:27,01:36:40
3276,00:45:39,01:18:34,01:37:33,01:36:41
8258,00:45:39,01:18:42,01:37:32,01:36:42
3550,00:43:03,01:17:24,01:37:01,01:36:42
9061,00:44:51,01:18:01,01:37:01,01:36:45
3009,00:44:01,01:17:54,01:40:02,01:36:46
6052,00:44:44,01:17:42,01:37:03,01:36:48
6975,00:45:18,01:18:34,01:37:19,01:36:49
1156,00:44:49,01:18:40,01:46:26,01:36:55
883,00:44:00,01:18:06,01:37:14,01:36:58
4930,00:46:15,01:19:33,01:37:44,01:36:58
4437,00:45:45,01:19:09,01:38:29,01:36:58
4570,00:45:31,01:18:41,01:37:29,01:37:00
8266,00:45:42,01:18:43,01:37:37,01:37:00
5677,00:44:38,01:18:17,01:40:43,01:37:00
1504,00:45:09,01:18:21,01:37:46,01:37:01
5020,00:46:19,01:19:07,01:49:38,01:37:03
4028,00:44:33,01:18:03,01:38:32,01:37:04
7540,00:45:47,01:18:45,01:37:11,01:37:05
3471,00:46:45,01:20:22,01:37:41,01:37:05
2095,00:45:06,01:18:11,01:37:24,01:37:05
9087,00:45:49,01:19:08,01:37:09,01:37:06
5651,00:44:44,01:18:50,01:37:13,01:37:06
7536,00:45:13,01:18:10,01:38:37,01:37:07
9086,00:45:48,01:19:08,01:37:11,01:37:07
920,00:44:33,01:18:22,01:40:52,01:37:11
5011,00:46:13,01:19:18,01:38:46,01:37:11
1215,00:44:55,01:18:34,01:37:38,01:37:12
3559,00:45:06,01:18:43,01:37:35,01:37:12
5648,00:46:01,01:19:09,01:38:01,01:37:13
3698,00:44:09,01:17:54,01:37:58,01:37:15
7551,00:44:51,01:17:52,01:38:48,01:37:16
4377,00:46:27,01:19:46,01:41:12,01:37:16
14,00:44:32,01:18:56,01:37:28,01:37:20
8251,00:42:18,01:16:08,01:37:24,01:37:21
4878,00:43:51,01:18:55,01:37:59,01:37:25
9828,00:42:55,01:18:08,01:37:49,01:37:26
822,00:46:37,01:19:44,01:41:21,01:37:29
39,00:45:17,01:18:43,01:38:13,01:37:36
3845,00:43:21,01:17:28,01:38:30,01:37:37
8327,00:45:34,01:19:11,01:37:44,01:37:38
6081,00:45:20,01:19:25,01:39:10,01:37:38
6624,00:46:31,01:19:14,01:41:10,01:37:38
8569,00:42:51,01:18:03,01:37:54,01:37:39
5453,00:45:50,01:20:46,01:46:05,01:37:39
188,00:45:46,01:19:30,01:41:38,01:37:40
4048,00:43:22,01:18:04,01:37:46,01:37:42
8920,00:45:52,01:19:13,01:38:25,01:37:42
2501,00:46:53,01:20:13,01:41:16,01:37:43
2853,00:44:27,01:18:21,01:38:16,01:37:44
2372,00:45:27,01:20:16,01:38:14,01:37:44
7312,00:44:34,01:18:50,01:38:09,01:37:45
7174,00:47:01,01:20:33,01:39:12,01:37:46
749,00:44:02,01:17:35,01:38:56,01:37:46
2080,00:44:34,01:18:33,01:38:34,01:37:47
8618,00:45:19,01:19:07,01:38:23,01:37:48
1526,00:45:56,01:20:09,01:38:33,01:37:48
4841,00:46:26,01:19:18,01:38:17,01:37:48
2673,00:46:42,01:19:56,01:39:42,01:37:48
8227,00:45:49,01:19:43,01:38:42,01:37:49
6735,00:45:17,01:18:43,01:38:35,01:37:50
9186,00:45:13,01:19:39,01:37:57,01:37:50
6658,00:45:06,01:18:57,01:38:13,01:37:50
9293,00:44:19,01:18:15,01:38:14,01:37:52
4909,00:46:55,01:20:04,01:38:39,01:37:52
5551,00:45:38,01:19:43,01:42:38,01:37:53
3218,00:45:32,01:19:21,01:38:48,01:37:55
5803,00:47:16,01:20:10,01:41:21,01:37:56
3351,00:45:26,01:19:03,01:38:36,01:37:57
9095,00:47:01,01:20:38,01:38:44,01:37:59
8835,00:45:39,01:19:46,01:38:23,01:38:00
1259,00:46:49,01:20:15,01:39:01,01:38:00
