running_id,10km,17km,gross_time,net_time
1884,00:41:04,01:17:15,01:34:40,01:34:32
805,00:44:34,01:17:03,01:35:15,01:34:32
6947,00:44:55,01:17:02,01:35:16,01:34:33
4886,00:44:30,01:16:26,01:35:25,01:34:33
4489,00:45:20,01:17:05,01:35:38,01:34:35
10982,00:44:45,01:16:56,01:35:06,01:34:37
4057,00:44:10,01:16:54,01:35:02,01:34:40
878,00:44:34,01:16:52,01:36:03,01:34:42
10699,00:43:53,01:16:38,01:34:53,01:34:43
2502,00:44:55,01:17:07,01:40:10,01:34:43
10822,00:43:37,01:16:22,01:34:48,01:34:45
1177,00:45:18,01:17:14,01:35:48,01:34:46
2765,00:45:05,01:17:42,01:36:30,01:34:52
5862,00:43:31,01:15:36,01:35:45,01:34:52
3488,00:43:14,01:16:33,01:35:22,01:34:52
2896,00:44:37,01:17:20,01:35:52,01:34:53
3520,00:44:55,01:17:14,01:35:56,01:34:53
5817,00:44:46,01:17:14,01:35:59,01:34:55
5831,00:44:47,01:17:15,01:35:58,01:34:55
2034,00:45:26,01:17:33,01:39:38,01:34:57
6177,00:44:50,01:17:04,01:36:21,01:34:57
962,00:44:42,01:17:18,01:35:23,01:34:58
3768,00:43:12,01:15:58,01:35:14,01:35:00
1269,00:44:21,01:17:05,01:35:56,01:35:02
516,00:44:25,01:16:44,01:35:21,01:35:02
5651,00:45:37,01:18:02,01:39:52,01:35:04
10835,00:44:44,01:17:05,01:35:39,01:35:07
2099,00:44:39,01:17:25,01:36:10,01:35:09
4927,00:45:19,01:17:56,01:36:10,01:35:10
6760,00:45:06,01:17:14,01:35:44,01:35:11
5208,00:42:43,01:16:03,01:35:34,01:35:12
2311,00:44:06,01:16:43,01:35:18,01:35:12
3820,00:43:17,01:16:28,01:35:18,01:35:14
10813,00:44:21,01:17:05,01:36:00,01:35:16
7915,00:42:39,01:15:18,01:36:01,01:35:17
3721,00:44:49,01:17:06,01:40:14,01:35:18
10048,00:46:27,01:18:04,01:36:00,01:35:19
1385,00:44:31,01:17:02,01:35:46,01:35:21
916,00:43:24,01:16:31,01:35:56,01:35:21
5457,00:41:46,01:16:31,01:35:39,01:35:22
1838,00:44:48,01:17:38,01:36:19,01:35:23
7827,00:44:04,01:16:56,01:36:56,01:35:23
6331,00:45:01,01:17:27,01:36:19,01:35:25
2628,00:45:38,01:17:59,01:35:58,01:35:26
10716,00:45:11,01:17:28,01:40:18,01:35:27
7121,00:45:39,01:17:54,01:35:59,01:35:29
7122,00:45:38,01:17:54,01:35:59,01:35:29
5557,00:44:27,01:17:20,01:40:18,01:35:29
2924,00:44:59,01:17:32,01:36:11,01:35:30
3403,00:45:09,01:17:35,01:35:42,01:35:30
4722,00:45:32,01:18:03,01:36:26,01:35:30
1161,00:44:32,01:17:24,01:36:17,01:35:30
6781,00:44:50,01:17:25,01:35:53,01:35:31
7066,00:45:19,01:18:00,01:37:10,01:35:31
4627,00:44:40,01:17:21,01:35:55,01:35:31
4096,00:47:19,01:19:04,01:36:44,01:35:31
3318,00:44:15,01:17:20,01:36:05,01:35:31
499,00:44:32,01:17:00,01:36:04,01:35:33
1969,00:44:29,01:17:11,01:35:53,01:35:36
5545,00:44:06,01:17:14,01:36:22,01:35:36
1320,00:45:02,01:17:35,01:36:34,01:35:38
3538,00:45:35,01:17:49,01:36:14,01:35:39
5306,00:44:53,01:17:42,01:36:45,01:35:43
7088,00:45:18,01:18:04,01:37:24,01:35:43
1637,00:43:35,01:17:15,01:36:26,01:35:45
1312,00:46:20,01:19:00,01:36:06,01:35:46
6295,00:45:47,01:18:31,01:37:11,01:35:47
6094,00:45:36,01:17:37,01:40:28,01:35:48
10266,00:45:13,01:18:02,01:36:35,01:35:49
